unit	cluster	hap1	hap2	purity	score
33	0	29	1	0.9667	419.5273
1635	0	0	37	1.0000	0.0000
422	1	13	13	0.5000	37.6632
665	0	0	21	1.0000	176.4641
1898	0	23	15	0.6053	0.0000
560	0	0	25	1.0000	177.8484
714	1	0	18	1.0000	247.1030
1800	0	20	14	0.5882	0.0000
1341	0	23	21	0.5227	0.0000
1283	1	1	21	0.9545	76.3980
376	1	1	27	0.9643	418.5149
607	1	23	2	0.9200	248.3267
631	0	27	29	0.5179	0.0000
661	0	11	21	0.6562	38.9289
674	1	1	32	0.9697	222.5747
557	0	2	27	0.9310	132.6239
1309	0	32	0	1.0000	292.7306
1293	1	0	18	1.0000	221.7679
727	1	13	16	0.5517	52.5299
19	0	15	13	0.5357	44.2832
590	1	15	14	0.5172	82.5900
1018	1	25	0	1.0000	177.8698
397	0	0	25	1.0000	0.0000
918	0	24	28	0.5385	0.0000
558	0	10	17	0.6296	68.4389
322	0	22	12	0.6471	40.9863
488	0	31	2	0.9394	234.0300
713	0	31	0	1.0000	160.0180
348	0	0	25	1.0000	167.7749
951	0	23	5	0.8214	58.3177
1284	0	2	27	0.9310	82.4114
744	0	25	0	1.0000	278.7245
569	0	1	25	0.9615	140.0456
623	0	1	24	0.9600	77.5330
740	0	3	26	0.8966	64.6212
484	1	25	0	1.0000	255.7834
796	0	32	21	0.6038	0.0000
846	1	0	16	1.0000	58.9111
632	0	12	8	0.6000	84.8133
521	0	13	11	0.5417	58.9716
272	1	29	3	0.9062	207.9522
897	1	0	28	1.0000	278.2355
418	1	0	29	1.0000	187.0800
1598	0	0	34	1.0000	0.0000
394	0	28	0	1.0000	212.8053
543	2	1	36	0.9730	597.0754
178	0	29	0	1.0000	123.2989
1093	0	0	28	1.0000	0.0000
1532	0	0	30	1.0000	117.2201
1569	1	4	14	0.7778	126.2556
1279	1	1	26	0.9630	77.5165
710	1	0	25	1.0000	247.6513
1395	0	16	0	1.0000	0.0000
538	1	12	19	0.6129	49.9971
472	0	20	5	0.8000	86.9569
20	1	11	10	0.5238	37.9839
1267	0	0	16	1.0000	0.0000
409	1	25	0	1.0000	196.8200
159	0	21	6	0.7778	94.0945
1433	1	1	16	0.9412	136.7607
1500	0	19	6	0.7600	69.1112
1200	1	4	27	0.8710	92.5044
996	1	24	0	1.0000	352.0094
138	1	0	33	1.0000	179.2600
579	1	23	0	1.0000	129.3203
139	1	0	33	1.0000	190.7508
645	0	30	34	0.5312	0.0000
102	1	20	5	0.8000	77.8363
1352	1	0	21	1.0000	249.2931
1652	1	0	24	1.0000	234.2436
1674	0	0	18	1.0000	256.7851
1545	0	29	0	1.0000	0.0000
794	0	10	22	0.6875	36.7725
